16,0,16,31
22,9,31,41
24,17,41,47
33,14,47,62
35,27,62,68
53,15,68,85
55,30,85,90
62,28,90,103
68,35,103,114
78,36,114,124
79,45,124,129
81,48,129,137
81,56,137,144
83,61,144,159
106,53,159,172
126,46,172,188
140,48,188,199
141,58,199,209
142,67,209,223
169,54,223,240
173,67,240,255
192,63,255,265
195,70,265,281
229,52,281,298
229,69,298,311
270,41,311,324
272,52,324,342
282,60,342,354
286,68,354,366
299,67,366,381
303,78,381,391
309,82,391,404
311,93,404,415
342,73,415,427
343,84,427,435
348,87,435,447
363,84,447,463
374,89,463,477
377,100,477,488
380,108,488,500
384,116,500,505
389,116,505,522
407,115,522,538
411,127,538,550
411,139,550,563
424,139,563,577
433,144,577,591
434,157,591,600
454,146,600,610
468,142,610,619
468,151,619,631
476,155,631,637
485,152,637,642
490,152,642,651
